comparison,input,target,dataset,split,sequence_name,sensor,valid_frames,mse,rmse,mae,l2,corr,cosine,mag_mae,axis_mae_x,axis_mae_y,axis_mae_z,energy_a,energy_b,root_abs_mean_aM_rel,leakage_raw_corr,leakage_rel_corr
zero-trans old,aM_smooth,FK zero-trans absolute,AMASS,train,KIT/883/wipe_leg_vertical09_poses::offset_aug_overlay,head,578,0.07523224502801895,0.2742849588394165,0.11145249754190445,0.22856147587299347,0.5467864871025085,0.6684979796409607,0.15327933430671692,0.14492687582969666,0.08568178117275238,0.10374884307384491,0.20444102585315704,0.33898839354515076,0.0,0.9295265078544617,0.9447156190872192
zero-trans old,aM_smooth,FK zero-trans absolute,AMASS,train,KIT/883/wipe_leg_vertical09_poses::offset_aug_overlay,pelvis,578,0.015518469735980034,0.12457314878702164,0.06124192848801613,0.12373866885900497,0.2995251715183258,0.2538490295410156,0.06916505843400955,0.07043582201004028,0.05426769331097603,0.05902227759361267,0.11100274324417114,0.08825436234474182,0.0,0.9295265078544617,0.9447156190872192
v2 relative (NEW),aM_rel,aGT_rel,AMASS,train,KIT/883/wipe_leg_vertical09_poses::offset_aug_overlay,overall,578,0.07961100339889526,0.28215423226356506,0.09341130405664444,0.188773050904274,0.9447156190872192,0.6603224873542786,0.13082702457904816,0.09414171427488327,0.0968468189239502,0.08924535661935806,0.4308324158191681,0.5419174432754517,0.0,0.9295265078544617,0.9447156190872192
v2 relative (NEW),aM_rel,aGT_rel,AMASS,train,KIT/883/wipe_leg_vertical09_poses::offset_aug_overlay,left_forearm,578,0.17161832749843597,0.414268434047699,0.1673215925693512,0.33450236916542053,0.9615393280982971,0.8309116363525391,0.22718092799186707,0.1711006760597229,0.19964945316314697,0.13121464848518372,1.1114883422851562,1.2991962432861328,0.0,0.9295265078544617,0.9447156190872192
v2 relative (NEW),aM_rel,aGT_rel,AMASS,train,KIT/883/wipe_leg_vertical09_poses::offset_aug_overlay,right_forearm,578,0.18646909296512604,0.43182066082954407,0.18142561614513397,0.3593686521053314,0.9526574015617371,0.8154712915420532,0.22970034182071686,0.17460833489894867,0.1958831548690796,0.17378529906272888,0.9482848644256592,1.1393705606460571,0.0,0.9295265078544617,0.9447156190872192
v2 relative (NEW),aM_rel,aGT_rel,AMASS,train,KIT/883/wipe_leg_vertical09_poses::offset_aug_overlay,left_lower_leg,578,0.021123941987752914,0.14534078538417816,0.05708915367722511,0.11595304310321808,0.7427487373352051,0.7584474682807922,0.0873306542634964,0.037988826632499695,0.06445140391588211,0.06882723420858383,0.13691650331020355,0.213022381067276,0.0,0.9295265078544617,0.9447156190872192
v2 relative (NEW),aM_rel,aGT_rel,AMASS,train,KIT/883/wipe_leg_vertical09_poses::offset_aug_overlay,right_lower_leg,578,0.03440217301249504,0.18547822535037994,0.07078150659799576,0.14439241588115692,0.7208372950553894,0.7790209054946899,0.10636500269174576,0.05936210975050926,0.06779079884290695,0.08519160747528076,0.16831974685192108,0.25961974263191223,0.0,0.9295265078544617,0.9447156190872192
v2 relative (NEW),aM_rel,aGT_rel,AMASS,train,KIT/883/wipe_leg_vertical09_poses::offset_aug_overlay,head,578,0.06405249983072281,0.2530859410762787,0.08384998142719269,0.1784217655658722,0.6612609028816223,0.7780835032463074,0.13438527286052704,0.12179041653871536,0.053306128829717636,0.07645341008901596,0.2199850082397461,0.3402960002422333,0.0,0.9295265078544617,0.9447156190872192
v2 relative (NEW),aM_rel,aGT_rel,AMASS,train,KIT/883/wipe_leg_vertical09_poses::offset_aug_overlay,pelvis,578,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9295265078544617,0.9447156190872192
raw absolute,aM,FK absolute zero-trans,AMASS,train,KIT/883/wipe_leg_vertical10_poses::original,overall,582,0.43885335326194763,0.6624600887298584,0.5146182179450989,1.0471874475479126,0.7360886931419373,0.18945375084877014,0.8606215715408325,0.6079049706459045,0.3412097990512848,0.5947399735450745,1.2745485305786133,0.45055824518203735,0.0,0.9297205805778503,0.9185069799423218
