mode,sequence_id,signal_filter,sensor_id,sensor_name,sensor_group,variant,acc_rmse,acc_mean_norm
C,s5_freestyle1,savgol9_p3,1,right_forearm,fit,delta,0.02939582990515044,0.06614308797504664
C,s5_freestyle1,savgol9_p3,2,left_lower_leg,heldout,original,0.5706900772412938,0.6791967423479064
C,s5_freestyle1,savgol9_p3,2,left_lower_leg,heldout,refined,0.6988925709078666,0.8515877620752738
C,s5_freestyle1,savgol9_p3,2,left_lower_leg,heldout,delta,0.12820249366657277,0.17239101972736737
C,s5_freestyle1,savgol9_p3,3,right_lower_leg,heldout,original,3.804730549865979,2.095233387040339
C,s5_freestyle1,savgol9_p3,3,right_lower_leg,heldout,refined,3.8443292220743173,2.2843337391754988
C,s5_freestyle1,savgol9_p3,3,right_lower_leg,heldout,delta,0.039598672208338126,0.18910035213515997
C,s5_freestyle1,savgol9_p3,4,head,fit,original,0.7686655471680292,0.8039433247939141
C,s5_freestyle1,savgol9_p3,4,head,fit,refined,0.8780688542799835,1.0923140682828198
C,s5_freestyle1,savgol9_p3,4,head,fit,delta,0.10940330711195434,0.2883707434889058
C,s5_freestyle1,savgol9_p3,5,pelvis,other,original,0.9134486067135058,0.9655654030507426
C,s5_freestyle1,savgol9_p3,5,pelvis,other,refined,0.956554590254849,1.1602288160345418
C,s5_freestyle1,savgol9_p3,5,pelvis,other,delta,0.04310598354134321,0.1946634129837992
C,s5_freestyle1,savgol15_p3,0,left_forearm,fit,original,0.44467432855706346,0.6460886444848223
C,s5_freestyle1,savgol15_p3,0,left_forearm,fit,refined,0.5305232806198289,0.7544285903459553
C,s5_freestyle1,savgol15_p3,0,left_forearm,fit,delta,0.08584895206276544,0.10833994586113305
C,s5_freestyle1,savgol15_p3,1,right_forearm,fit,original,1.2350697169305127,2.053190086318538
C,s5_freestyle1,savgol15_p3,1,right_forearm,fit,refined,1.2212045341132336,2.0711568807017735
C,s5_freestyle1,savgol15_p3,1,right_forearm,fit,delta,-0.01386518281727911,0.017966794383235563
C,s5_freestyle1,savgol15_p3,2,left_lower_leg,heldout,original,0.508910492678653,0.5435255964559254
C,s5_freestyle1,savgol15_p3,2,left_lower_leg,heldout,refined,0.6375040429832459,0.6768109776758419
C,s5_freestyle1,savgol15_p3,2,left_lower_leg,heldout,delta,0.12859355030459296,0.1332853812199165
C,s5_freestyle1,savgol15_p3,3,right_lower_leg,heldout,original,3.2011255676385884,1.9943174051701533
C,s5_freestyle1,savgol15_p3,3,right_lower_leg,heldout,refined,3.2641522156829366,2.1389660505318533
C,s5_freestyle1,savgol15_p3,3,right_lower_leg,heldout,delta,0.06302664804434821,0.14464864536169997
C,s5_freestyle1,savgol15_p3,4,head,fit,original,0.48438566631749785,0.5562501231912587
C,s5_freestyle1,savgol15_p3,4,head,fit,refined,0.5774817430495724,0.7012535676244138
C,s5_freestyle1,savgol15_p3,4,head,fit,delta,0.0930960767320746,0.14500344443315516
C,s5_freestyle1,savgol15_p3,5,pelvis,other,original,0.5748573357526444,0.6956962168686017
C,s5_freestyle1,savgol15_p3,5,pelvis,other,refined,0.5845833911471443,0.7400352535973351
C,s5_freestyle1,savgol15_p3,5,pelvis,other,delta,0.009726055394499888,0.044339036728733405
