group,mahalanobis,max_abs_z,ref,sequence_index_in_group
AMASS/train,26.184487371863515,,TotalCapture_train,481
AMASS/all,26.184487371863515,,TotalCapture_train,481
ALL/all,26.184487371863515,,TotalCapture_train,481
AMASS/train,26.149569925584217,,TotalCapture_train,97
AMASS/all,26.149569925584217,,TotalCapture_train,97
ALL/all,26.149569925584217,,TotalCapture_train,97
AMASS/train,26.149253310500658,,TotalCapture_train,607
AMASS/all,26.149253310500658,,TotalCapture_train,607
ALL/all,26.149253310500658,,TotalCapture_train,607
AMASS/train,26.118768355338577,,TotalCapture_train,1037
AMASS/all,26.118768355338577,,TotalCapture_train,1037
ALL/all,26.118768355338577,,TotalCapture_train,1037
AMASS/train,26.091911051311822,,TotalCapture_train,1153
AMASS/all,26.091911051311822,,TotalCapture_train,1153
ALL/all,26.091911051311822,,TotalCapture_train,1153
AMASS/train,26.090041613351687,,TotalCapture_train,113
AMASS/all,26.090041613351687,,TotalCapture_train,113
ALL/all,26.090041613351687,,TotalCapture_train,113
AMASS/train,26.065701788394794,,TotalCapture_train,1137
AMASS/all,26.065701788394794,,TotalCapture_train,1137
ALL/all,26.065701788394794,,TotalCapture_train,1137
AMASS/train,26.026075694468677,,TotalCapture_train,737
AMASS/all,26.026075694468677,,TotalCapture_train,737
ALL/all,26.026075694468677,,TotalCapture_train,737
AMASS/train,26.0227979662105,,TotalCapture_train,325
AMASS/all,26.0227979662105,,TotalCapture_train,325
ALL/all,26.0227979662105,,TotalCapture_train,325
AMASS/train,26.017155315042203,,TotalCapture_train,823
AMASS/all,26.017155315042203,,TotalCapture_train,823
ALL/all,26.017155315042203,,TotalCapture_train,823
AMASS/train,25.956131194797212,,TotalCapture_train,139
AMASS/all,25.956131194797212,,TotalCapture_train,139
ALL/all,25.956131194797212,,TotalCapture_train,139
AMASS/train,25.947752580200635,,TotalCapture_train,637
AMASS/all,25.947752580200635,,TotalCapture_train,637
ALL/all,25.947752580200635,,TotalCapture_train,637
AMASS/train,25.92316859703516,,TotalCapture_train,889
AMASS/all,25.92316859703516,,TotalCapture_train,889
ALL/all,25.92316859703516,,TotalCapture_train,889
AMASS/train,25.835734414130286,,TotalCapture_train,1145
AMASS/all,25.835734414130286,,TotalCapture_train,1145
ALL/all,25.835734414130286,,TotalCapture_train,1145
AMASS/train,25.822149015712785,,TotalCapture_train,1065
AMASS/all,25.822149015712785,,TotalCapture_train,1065
ALL/all,25.822149015712785,,TotalCapture_train,1065
AMASS/train,25.818245012327615,,TotalCapture_train,757
AMASS/all,25.818245012327615,,TotalCapture_train,757
ALL/all,25.818245012327615,,TotalCapture_train,757
AMASS/train,25.763633689910623,,TotalCapture_train,77
AMASS/all,25.763633689910623,,TotalCapture_train,77
ALL/all,25.763633689910623,,TotalCapture_train,77
AMASS/train,25.74079095719235,,TotalCapture_train,187
