base_l2,correction_corr,correction_cosine,dataset,harmful_rate,overcorrection_rate,pred_l2,sequence,split,valid_frames
1.7188339233398438,0.7117420800908683,0.6847030520439148,DIP,0.21908634901046753,0.10265486687421799,1.0182729959487915,s02_04,train,4181
0.7143968939781189,0.7690978367455388,0.7272674441337585,DIP,0.2178223878145218,0.1392432451248169,0.4451426565647125,s02_02,train,6475
3.4733810424804688,0.9196884127334605,0.6445494294166565,DIP,0.21305221319198608,0.05481927841901779,1.6956961154937744,s07_04,train,996
0.7845609188079834,0.733159590540795,0.6474670767784119,DIP,0.21118903160095215,0.06676016747951508,0.5282806158065796,s04_02,train,6417
0.9068541526794434,0.346049426611718,0.6534887552261353,TotalCapture,0.20476272702217102,0.050617069005966187,0.7170117497444153,s5_rom3,test,5753
4.473252773284912,0.8851236118022554,0.6676899194717407,DIP,0.20284360647201538,0.06303317844867706,2.276869773864746,s06_04,train,844
0.6210653781890869,0.7836368740550567,0.680834949016571,DIP,0.20059004426002502,0.07231532037258148,0.39124205708503723,s06_02,train,8474
3.2429440021514893,0.8195462092994341,0.6887626647949219,DIP,0.1903795599937439,0.06493799388408661,1.9918417930603027,s05_04,train,2661
1.566015362739563,0.8027160970956876,0.7129640579223633,DIP,0.18658286333084106,0.07850179821252823,0.9328652024269104,s05_03,train,7796
0.7967779040336609,0.813800757195527,0.6989262700080872,DIP,0.18233083188533783,0.07388664036989212,0.4822618067264557,s05_02,train,6916
1.745059609413147,0.8160528928085227,0.7647612690925598,DIP,0.15789073705673218,0.09603244811296463,0.9808053374290466,s04_03,train,7889
1.7457947731018066,0.8084678985580167,0.7514967322349548,DIP,0.15518969297409058,0.07080887258052826,0.964889407157898,s02_03,train,6985
1.8305060863494873,0.7900135075351984,0.7717704176902771,DIP,0.1440582275390625,0.0704730823636055,0.9619338512420654,s07_03,train,7969
1.4626573324203491,0.5879701395354535,0.8254522085189819,TotalCapture,0.06950432807207108,0.014556845650076866,0.9465083479881287,s4_rom3,val,5427
