comparison,dataset,split,sequence_name,sensor,valid_frames,num_sequences,mse,rmse,mae,l2,corr,cosine,mag_mae,axis_mae_x,axis_mae_y,axis_mae_z,axis_rmse_x,axis_rmse_y,axis_rmse_z,energy_imu,energy_gt
raw_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_04_poses::original,head,238,1,0.8297038078308105,0.9108808040618896,0.7076455950737,1.4447940587997437,0.18520581722259521,0.11396608501672745,1.1919128894805908,0.8910370469093323,0.42320090532302856,0.8086990118026733,1.082864761352539,0.529582679271698,1.0178691148757935,1.4715983867645264,0.2808741629123688
butter2_4hz_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_04_poses::original,overall_leaf_only,238,1,0.11399946361780167,0.33763808012008667,0.2204248011112213,0.47788676619529724,0.9061935544013977,0.4070587754249573,0.3118283450603485,0.3204666078090668,0.06471411138772964,0.2760937511920929,0.4565359652042389,0.10486014187335968,0.3501109182834625,0.9217203259468079,0.6943936944007874
butter2_4hz_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_04_poses::original,left_forearm,238,1,0.11999181658029556,0.34639835357666016,0.2204941213130951,0.48531287908554077,0.971805214881897,0.9640973806381226,0.22032354772090912,0.3244543671607971,0.07761645317077637,0.25941163301467896,0.4895745813846588,0.1044367179274559,0.3307342231273651,2.3188092708587646,2.316913366317749
butter2_4hz_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_04_poses::original,right_forearm,238,1,0.12286872416734695,0.350526362657547,0.2346934825181961,0.4941790699958801,0.9173322319984436,0.6127834320068359,0.31284594535827637,0.3235524892807007,0.08296923339366913,0.2975586950778961,0.4390147924423218,0.16533853113651276,0.3854027986526489,0.8526310920715332,0.6946285963058472
butter2_4hz_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_04_poses::original,left_lower_leg,238,1,0.10256935656070709,0.3202645182609558,0.22415819764137268,0.4868885278701782,0.02054893784224987,0.12078466266393661,0.37677857279777527,0.32145440578460693,0.06405264884233475,0.28696754574775696,0.42394378781318665,0.0945529043674469,0.34502097964286804,0.4843350946903229,0.10959161818027496
butter2_4hz_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_04_poses::original,right_lower_leg,238,1,0.11691796779632568,0.3419326841831207,0.2108050286769867,0.4637320637702942,-0.07975190877914429,0.011657877825200558,0.33834660053253174,0.3119370937347412,0.049733322113752365,0.2707447111606598,0.477481871843338,0.06360547989606857,0.3445567488670349,0.45242980122566223,0.11950329691171646
butter2_4hz_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_04_poses::original,head,238,1,0.10764942318201065,0.32809972763061523,0.2119731903076172,0.45932143926620483,0.4536903202533722,0.32597050070762634,0.31084713339805603,0.32093459367752075,0.049198903143405914,0.2657861113548279,0.4494338929653168,0.0612248070538044,0.34235796332359314,0.5003964304924011,0.23133155703544617
centered_ma9_oracle,AMASS,train,KIT/1229/washing_movement_left_arm_04_poses::original,overall_leaf_only,238,1,0.06693843007087708,0.2587246298789978,0.18739263713359833,0.39865729212760925,0.92941814661026,0.40569302439689636,0.26126226782798767,0.25554004311561584,0.06551884114742279,0.24111905694007874,0.3234231472015381,0.08951803296804428,0.29698365926742554,0.8216200470924377,0.6182660460472107
raw_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_04_poses::offset_aug_overlay,overall_leaf_only,238,1,1.0644155423733537e-07,0.000326253823004663,0.00023424660321325064,0.0004968885332345963,1.0000001192092896,0.9999920129776001,0.00022678871755488217,0.0001150392199633643,0.0003565757069736719,0.00023112485359888524,0.00014166223991196603,0.00045976435649208724,0.0002964341838378459,0.7141834497451782,0.7141841650009155
raw_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_04_poses::offset_aug_overlay,left_forearm,238,1,1.0079909884552762e-07,0.00031748873880133033,0.00021053249656688422,0.00046272252802737057,1.0,1.0,0.00027352027245797217,0.00010492070578038692,0.0003737045917659998,0.0001529722212580964,0.00012670329306274652,0.0005006536957807839,0.00018891642685048282,2.3733551502227783,2.3733577728271484
raw_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_04_poses::offset_aug_overlay,right_forearm,238,1,1.3364666529014357e-07,0.00036557717248797417,0.00027671197312884033,0.0005782486987300217,1.0,0.9999985098838806,0.00028364171157591045,0.00012796992086805403,0.0003741568943951279,0.00032800916233099997,0.00015580240869894624,0.00045783983659930527,0.0004087153938598931,0.6475540995597839,0.6475551724433899
raw_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_04_poses::offset_aug_overlay,left_lower_leg,238,1,8.040043297796728e-08,0.0002835497143678367,0.00021070339425932616,0.0004400394973345101,0.9999933242797852,0.9999876022338867,0.00020164554007351398,0.00011114826338598505,0.000283547822618857,0.0002374141477048397,0.00013880593178328127,0.00036797139910049736,0.00029416196048259735,0.11880651116371155,0.1188017725944519
raw_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_04_poses::offset_aug_overlay,right_lower_leg,238,1,7.361303744346515e-08,0.00027131722890771925,0.00020719449094031006,0.00042428457527421415,0.9999960660934448,0.999981164932251,0.0001810796675272286,0.00011304997315164655,0.00028557635960169137,0.0002229571109637618,0.00013837053847964853,0.0003518800949677825,0.00027905747992917895,0.13483327627182007,0.13483646512031555
raw_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_04_poses::offset_aug_overlay,head,238,1,1.4374855084042792e-07,0.00037914185668341815,0.0002660905884113163,0.0005791477160528302,0.9999982714653015,0.999992847442627,0.0001940563670359552,0.00011810722935479134,0.00046589295379817486,0.0002142716257367283,0.0001469671115046367,0.0005808804999105632,0.0002687454398255795,0.29636794328689575,0.296369731426239
butter2_4hz_leaf_relative,AMASS,train,KIT/1229/washing_movement_left_arm_04_poses::offset_aug_overlay,overall_leaf_only,238,1,2.9613520524662817e-09,5.441830580821261e-05,1.4699436178489123e-05,3.071786341024563e-05,1.0000001192092896,1.0,1.3639288226841018e-05,7.147459200496087e-06,2.2548982087755576e-05,1.4401868611457758e-05,2.2974623789195903e-05,7.80851551098749e-05,4.7528210416203365e-05,0.6902435421943665,0.6902495622634888
